date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:41:09	2227949/2227949	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:05:04%20GMT	https://grunge.com.tn/images/56.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/56.jpg	(from https://grunge.com.tn/event.html)
15:41:11	784934/784934	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:05:28%20GMT	https://grunge.com.tn/images/62.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/62.jpg	(from https://grunge.com.tn/3D.html)
15:41:20	999305/999305	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:05:33%20GMT	https://grunge.com.tn/images/63.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/63.jpg	(from https://grunge.com.tn/3D.html)
15:42:13	5933827/5933827	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Feb%202020%2016:06:47%20GMT	https://grunge.com.tn/images/66.png	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/66.png	(from https://grunge.com.tn/3D.html)
15:42:23	10922975/10922975	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Feb%202020%2016:05:59%20GMT	https://grunge.com.tn/images/61.png	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/61.png	(from https://grunge.com.tn/3D.html)
15:43:00	7081238/7081238	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Feb%202020%2016:07:07%20GMT	https://grunge.com.tn/images/67.png	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/67.png	(from https://grunge.com.tn/3D.html)
15:43:01	6584265/6584265	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Feb%202020%2016:06:36%20GMT	https://grunge.com.tn/images/65.png	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/65.png	(from https://grunge.com.tn/3D.html)
15:43:03	7227702/7227702	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Feb%202020%2016:06:13%20GMT	https://grunge.com.tn/images/64.png	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/64.png	(from https://grunge.com.tn/3D.html)
15:43:05	245617/245617	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202020%2016:05:23%20GMT	https://grunge.com.tn/images/610.jpg	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/images/610.jpg	(from https://grunge.com.tn/3D.html)
15:43:06	129352/129352	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2028%20Jan%202020%2014:50:35%20GMT	https://grunge.com.tn/assets/webfonts/fa-brands-400.eot	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/assets/webfonts/fa-brands-400.eot	(from https://grunge.com.tn/assets/css/fontawesome-all.min.css)
15:43:14	74508/74508	---M--	200	added ('OK')	font/woff2	date:Tue,%2028%20Jan%202020%2014:50:39%20GMT	https://grunge.com.tn/assets/webfonts/fa-brands-400.woff2	C:/Users/Sofiane%20Trabelsi/Desktop/Grunge/first_project/grunge/grunge.com.tn/assets/webfonts/fa-brands-400.woff2	(from https://grunge.com.tn/assets/css/fontawesome-all.min.css)
